,ZIP,Estimate!!Total!!HOUSEHOLDS!!Average household size
0,98001,2.94
1,98002,2.55
2,98003,2.64
3,98004,2.12
4,98005,2.48
5,98006,2.85
6,98007,2.41
7,98008,2.75
8,98010,2.57
9,98011,2.53
10,98014,2.59
11,98019,2.92
12,98022,2.49
13,98023,2.86
14,98024,2.89
15,98027,2.49
16,98028,2.45
17,98029,2.52
18,98030,2.94
19,98031,2.99
20,98032,2.66
21,98033,2.34
22,98034,2.45
23,98038,2.94
24,98039,2.71
25,98040,2.54
26,98042,2.92
27,98045,2.64
28,98047,2.94
29,98051,2.71
30,98052,2.52
31,98053,2.67
32,98055,2.55
33,98056,2.50
34,98057,2.00
35,98058,2.74
36,98059,2.90
37,98065,2.91
38,98070,2.22
39,98072,2.57
40,98074,3.06
41,98075,3.12
42,98077,2.97
43,98092,2.90
44,98101,1.41
45,98102,1.59
46,98103,2.05
47,98104,1.46
48,98105,2.41
49,98106,2.43
50,98107,1.88
51,98108,2.77
52,98109,1.63
53,98112,2.15
54,98115,2.34
55,98116,2.17
56,98117,2.38
57,98118,2.71
58,98119,1.83
59,98121,1.50
60,98122,1.82
61,98125,2.22
62,98126,2.15
63,98133,2.18
64,98134,1.62
65,98136,2.17
66,98144,2.30
67,98146,2.64
68,98148,2.53
69,98154,-
70,98155,2.57
71,98164,1.59
72,98166,2.44
73,98168,2.88
74,98177,2.46
75,98178,2.70
76,98188,2.51
77,98195,-
78,98198,2.59
79,98199,2.27
